date,election_year,state,candidate_dem,candidate_rep,sample_size,pollster_rating
2024-06-02,2024,Pennsylvania,46.2,47.8,800,A
2024-06-09,2024,Pennsylvania,46.5,47.5,800,A
2024-06-16,2024,Pennsylvania,47.1,47.2,800,A
2024-06-23,2024,Pennsylvania,46.8,47.5,800,A
2024-06-30,2024,Pennsylvania,47.3,47.8,800,A
2024-07-07,2024,Pennsylvania,47.5,48.0,800,A
2024-07-14,2024,Pennsylvania,47.8,48.2,800,A
2024-07-21,2024,Pennsylvania,48.0,48.5,800,A
2024-07-28,2024,Pennsylvania,48.2,48.7,800,A
2024-08-04,2024,Pennsylvania,48.1,48.6,800,A
2024-08-11,2024,Pennsylvania,48.3,48.9,800,A
2024-08-18,2024,Pennsylvania,48.5,49.1,800,A
2024-08-25,2024,Pennsylvania,48.7,49.3,800,A
2024-09-01,2024,Pennsylvania,48.6,49.2,800,A
2024-09-08,2024,Pennsylvania,48.8,49.5,800,A
2024-09-15,2024,Pennsylvania,49.0,49.7,800,A
2024-09-22,2024,Pennsylvania,49.1,49.8,800,A
2024-09-29,2024,Pennsylvania,49.0,49.7,800,A
2024-10-06,2024,Pennsylvania,49.2,50.0,800,A
2024-10-13,2024,Pennsylvania,49.3,50.2,800,A
2024-10-20,2024,Pennsylvania,49.4,50.3,800,A
2024-10-27,2024,Pennsylvania,49.3,50.4,800,A
2024-11-03,2024,Pennsylvania,49.2,50.5,800,A
