team,matches,xg_for,xg_against,npxg_for,npxg_per_game,xg_per_game,shots_total,shots_on_target,shot_accuracy,xg_per_shot,corners_total,corners_per_game
Arsenal,16,1.66,0,2.65,0.165625,0.10375,231.0,0.33,0.14285714285714285,0.10779220779220779,0,0.0
Aston Villa,15,1.06,0,1.91,0.12733333333333333,0.07066666666666667,178.0,0.35,0.19662921348314605,0.0898876404494382,0,0.0
Bournemouth,15,1.39,0,2.03,0.13533333333333333,0.09266666666666666,193.0,0.28,0.1450777202072539,0.09533678756476684,0,0.0
Brentford,15,1.45,0,1.92,0.128,0.09666666666666666,144.0,0.31,0.2152777777777778,0.11319444444444444,0,0.0
Brighton,16,1.59,0,2.54,0.15875,0.099375,213.0,0.32,0.15023474178403756,0.10845070422535212,0,0.0
Burnley,16,0.9,0,1.43,0.089375,0.05625,138.0,0.31,0.2246376811594203,0.09347826086956522,0,0.0
Chelsea,16,1.68,0,2.98,0.18625,0.105,225.0,0.33,0.14666666666666667,0.116,0,0.0
Crystal Palace,15,1.62,0,2.52,0.168,0.10800000000000001,170.0,0.27,0.15882352941176472,0.12941176470588237,0,0.0
Everton,16,1.22,0,2.11,0.131875,0.07625,169.0,0.34,0.20118343195266275,0.11124260355029586,0,0.0
Fulham,16,1.06,0,1.88,0.1175,0.06625,182.0,0.36,0.1978021978021978,0.09285714285714285,0,0.0
Leeds United,15,1.32,0,1.92,0.128,0.08800000000000001,181.0,0.33,0.18232044198895028,0.09558011049723757,0,0.0
Liverpool,16,1.62,0,2.84,0.1775,0.10125,249.0,0.35,0.14056224899598393,0.10120481927710843,0,0.0
Man City,15,1.94,0,3.57,0.238,0.12933333333333333,215.0,0.42,0.19534883720930232,0.1316279069767442,0,0.0
Manchester Utd,15,1.79,0,2.77,0.18466666666666667,0.11933333333333333,237.0,0.29,0.12236286919831223,0.10042194092827005,0,0.0
Newcastle Utd,15,1.37,0,2.2,0.14666666666666667,0.09133333333333334,186.0,0.29,0.15591397849462366,0.09838709677419355,0,0.0
Nott'ham Forest,15,1.15,0,1.94,0.12933333333333333,0.07666666666666666,181.0,0.23,0.1270718232044199,0.09060773480662983,0,0.0
Sunderland,15,0.87,0,1.3,0.08666666666666667,0.058,142.0,0.36,0.2535211267605634,0.08098591549295775,0,0.0
Tottenham,15,0.99,0,1.73,0.11533333333333333,0.066,147.0,0.48,0.32653061224489793,0.10068027210884355,0,0.0
West Ham,15,1.02,0,1.58,0.10533333333333333,0.068,151.0,0.29,0.1920529801324503,0.09602649006622517,0,0.0
Wolves,16,0.85,0,1.36,0.085,0.053125,137.0,0.16,0.11678832116788322,0.09343065693430658,0,0.0
